Date,Cas
2020/03/13,0
2020/03/14,0
2020/03/15,0
2020/03/16,0
2020/03/17,8
2020/03/18,10
2020/03/19,10
2020/03/20,13
2020/03/21,13
2020/03/22,33
2020/03/23,79
2020/03/24,95
2020/03/25,103
2020/03/26,106
2020/03/27,148
2020/03/28,164
2020/03/29,174
2020/03/30,213
2020/03/31,247
2020/04/01,270
2020/04/02,280
2020/04/03,309
2020/04/04,345
2020/04/05,357
2020/04/06,375
2020/04/07,392
2020/04/08,412
2020/04/09,427
2020/04/10,440
2020/04/11,444
2020/04/12,480
2020/04/13,511
2020/04/14,528
2020/04/15,551
2020/04/16,569
2020/04/17,586
2020/04/18,599
2020/04/19,615
